id,name,x1,y1,x2,y2,w,h,ox,oy,gx,gy,dx,dy,dummy
small,text,small,small,small,small,small,small,big,big,small,small,big,big,small
1,totem02_01,478,982,526,1018,48,36,2.00,15.00,150,150,-22.00,-3.00,0
2,totem02_02,424,827,482,881,58,54,2.00,15.00,150,150,-27.00,-12.00,0
3,totem02_03,283,982,331,1020,48,38,2.00,15.00,150,150,-22.00,-4.00,0
4,unit02_03_weapon_01_1,651,933,737,977,86,44,13.00,10.00,200,200,-30.00,-12.00,0
5,unit02_03_weapon_01_2,457,933,555,977,98,44,19.00,10.00,200,200,-30.00,-12.00,0
6,unit02_03_weapon_01_3,1,882,105,932,104,50,22.00,7.00,200,200,-30.00,-18.00,0
7,unit04_01_atk_01,86,432,164,504,78,72,-1.00,30.00,200,200,-40.00,-6.00,0
8,unit04_01_atk_02,571,280,673,354,102,74,14.00,31.00,200,200,-37.00,-6.00,0
9,unit04_01_atk_03,349,280,459,354,110,74,18.00,31.00,200,200,-37.00,-6.00,0
10,unit04_01_atk_04,551,432,641,502,90,70,12.00,29.00,200,200,-33.00,-6.00,0
11,unit04_01_atk_05,104,505,196,573,92,68,13.00,28.00,200,200,-33.00,-6.00,0
12,unit04_01_dead_01,893,357,981,429,88,72,4.00,29.00,200,200,-40.00,-7.00,0
13,unit04_01_dead_02,608,505,694,571,86,66,10.00,27.00,200,200,-33.00,-6.00,0
14,unit04_01_dead_03,722,706,806,764,84,58,9.00,21.00,200,200,-33.00,-8.00,0
15,unit04_01_dead_04,563,882,653,930,90,48,6.00,17.00,200,200,-39.00,-7.00,0
16,unit04_01_dead_05,556,933,650,977,94,44,6.00,13.00,200,200,-41.00,-9.00,0
17,unit04_01_move_01,674,280,756,354,82,74,0.00,31.00,200,200,-41.00,-6.00,0
18,unit04_01_move_02,1,432,85,504,84,72,2.00,29.00,200,200,-40.00,-7.00,0
19,unit04_01_move_03,804,357,892,429,88,72,3.00,30.00,200,200,-41.00,-6.00,0
20,unit04_02_atk_01,282,1,386,97,104,96,11.00,38.00,200,200,-41.00,-10.00,0
21,unit04_02_atk_02,460,280,570,354,110,74,18.00,31.00,200,200,-37.00,-6.00,0
22,unit04_02_atk_03,105,280,227,354,122,74,23.00,31.00,200,200,-38.00,-6.00,0
23,unit04_02_atk_04,189,1,281,99,92,98,12.00,39.00,200,200,-34.00,-10.00,0
24,unit04_02_atk_05,387,1,479,97,92,96,13.00,38.00,200,200,-33.00,-10.00,0
25,unit04_02_dead_01,699,357,803,429,104,72,11.00,30.00,200,200,-41.00,-6.00,0
26,unit04_02_dead_02,1,505,103,573,102,68,18.00,27.00,200,200,-33.00,-7.00,0
27,unit04_02_dead_03,345,574,441,638,96,64,15.00,18.00,200,200,-33.00,-14.00,0
28,unit04_02_dead_04,623,706,721,764,98,58,7.00,17.00,200,200,-42.00,-12.00,0
29,unit04_02_dead_05,1,827,99,881,98,54,9.00,8.00,200,200,-40.00,-19.00,0
30,unit04_02_move_01,704,201,806,277,102,76,9.00,31.00,200,200,-42.00,-7.00,0
31,unit04_02_move_02,807,201,905,277,98,76,8.00,27.00,200,200,-41.00,-11.00,0
32,unit04_02_move_03,594,357,698,429,104,72,11.00,30.00,200,200,-41.00,-6.00,0
33,unit04_03_atk_01,94,1,188,111,94,110,4.00,49.00,250,250,-43.00,-6.00,0
34,unit04_03_atk_02,334,357,470,429,136,72,27.00,29.00,250,250,-41.00,-7.00,0
35,unit04_03_atk_03,228,280,348,354,120,74,23.00,31.00,250,250,-37.00,-6.00,0
36,unit04_03_atk_04,1,1,93,115,92,114,0.00,51.00,250,250,-46.00,-6.00,0
37,unit04_03_atk_05,521,116,665,194,144,78,39.00,32.00,250,250,-33.00,-7.00,0
38,unit04_03_atk_06,666,116,804,194,138,78,31.00,32.00,250,250,-38.00,-7.00,0
39,unit04_03_dead_01,1,116,119,200,118,84,19.00,36.00,250,250,-40.00,-6.00,0
40,unit04_03_dead_02,805,116,935,194,130,78,32.00,32.00,250,250,-33.00,-7.00,0
41,unit04_03_dead_03,471,357,593,429,122,72,28.00,29.00,250,250,-33.00,-7.00,0
42,unit04_03_dead_04,48,641,170,703,122,62,18.00,22.00,250,250,-43.00,-9.00,0
43,unit04_03_dead_05,774,768,902,822,128,54,23.00,13.00,250,250,-41.00,-14.00,0
